小韻號,藤田條目號,韻目原貌,音韻地位,代表字,反切上字,反切下字,反切上字-又,反切下字-又,直音,反切上字地位,反切下字地位,反切上字地位-又,反切下字地位-又,對應廣韻小韻號,兩家差異注釋,代表字釋義,代表字釋義-又（又 = 李永富資料之與前一列不同者）
129,938,支,初合三支平,衰,楚,危,,,,初開三魚上,疑合三B支平,,,136,,楚危反.一.,
130,939,支,知合三支平,腄,竹,垂,,,,知三東入,常合三支平,,,137,,瘢胝.竹垂反.一.,
131,948,脂,章開三脂平,脂,旨,夷,,,,章開三脂上,以開三脂平,,,144,,旨夷反.三.,
132,959,脂,以開三脂平,姨,以,脂,,,,以開三之上,章開三脂平,,,145,,以脂反.十一.,
133,983,脂,生開三脂平,師,踈,脂,,,,生開三魚平,章開三脂平,,,146,,踈脂反.二.,
134,989,脂,並三A脂平,毗,房,脂,,,,並三C陽平,章開三脂平,,,147,,房脂反.十二.,
135,1010,脂,精開三脂平,咨,即,脂,,,,精開三蒸入,章開三脂平,,,148,,即脂反.八.,
136,1021,脂,見開三B脂平,飢,居,脂,,,,見開三C魚平,章開三脂平,,,149,,居脂反.二.,
137,1026,脂,昌開三脂平,鴟,處,脂,,,,昌開三魚上,章開三脂平,,,150,,鳥.處脂反.二.,
138,1031,脂,徹開三脂平,絺,丑,脂,,,,徹三尤上,章開三脂平,,,151,,丑脂反.三.,
139,1036,脂,清開三脂平,郪,取,私,,,,清合三虞上,心開三脂平,,,152,,縣名在廣𨹧.取私反.三.,縣名在廣陵.取私反.三.
140,1042,脂,從開三脂平,茨,疾,脂,,,,從開三真入,章開三脂平,,,153,,疾脂反.六.,
141,1054,脂,孃開三脂平,尼,女,脂,,,,孃開三魚上,章開三脂平,,,154,,女脂反.三.,
142,1061,脂,澄開三脂平,墀,直,尼,,,,澄開三蒸入,孃開三脂平,,,155,,直尼反.六.,
143,1076,脂,心開三脂平,私,息,脂,,,,心開三蒸入,章開三脂平,,,156,,息脂反.二.,
144,1081,脂,書開三脂平,尸,式,脂,,,,書開三蒸入,章開三脂平,,,157,,式脂反.四.,
145,1085,脂,羣開三A脂平,鬐,渠,脂,,,,羣開三C魚平,章開三脂平,,,158,,馬項上鬐.渠脂反.六.,
146,1096,脂,影開三A脂平,伊,扵,脂,,,,影開三C魚平,章開三脂平,,,159,,扵脂反.三.,
147,1100,脂,來開三脂平,梨,力,脂,,,,來開三蒸入,章開三脂平,,,160,,力脂反.七.,
148,1118,脂,羣合三A脂平,葵,渠,隹,,,,羣開三C魚平,章合三脂平,,,161,,渠隹反.三.,
149,1125,脂,知合三脂平,追,陟,隹,,,,知開三蒸入,章合三脂平,,,162,,陟隹反.一.,
150,1128,脂,見合三B脂平,龜,居,追,,,,見開三C魚平,知合三脂平,,,163,,居追反.二.,
151,1132,脂,日合三脂平,蕤,儒,隹,,,,日合三虞平,章合三脂平,,,164,,儒隹反.三.,
152,1140,脂,生合三脂平,衰,所,追,,,,生開三魚上,知合三脂平,,,165,,所追反.三.,
153,1143,脂,以合三脂平,惟,以,隹,,,,以開三之上,章合三脂平,,,166,,以隹反.七.,以隹反.八.
154,1153,脂,來合三脂平,㶟,力,追,,,,來開三蒸入,知合三脂平,,,167,,水名.力追反.七.,
155,1170,脂,心合三脂平,綏,息,遺,,,,心開三蒸入,以合三脂平,,,168,,安.息遺反.六.,
156,1184,脂,羣合三B脂平,逵,渠,追,,,,羣開三C魚平,知合三脂平,,,169,,渠追反.五.,
157,1200,脂,明三B脂平,眉,武,悲,,,,明三C虞上,幫三B脂平,,,170,,武悲反.九.,
158,1215,脂,幫三B脂平,悲,府,眉,,,,幫三C虞上,明三B脂平,,,171,,府眉反.一.,
159,1216,脂,章合三脂平,錐,職,追,,,,章開三蒸入,知合三脂平,,,172,,職追反.六.,
160,1223,脂,常合三脂平,誰,視,隹,,,,常開三脂上,章合三脂平,,,173,,視隹反.二.,
161,1225,脂,云合三B脂平,帷,洧,悲,,,,云合三B脂上,幫三B脂平,,,174,,洧悲反.一.,
162,1226,脂,並三B脂平,邳,符,悲,,,,並三C虞平,幫三B脂平,,,175,,下邳郡.符悲反.三.,下邳縣.符悲反.三.
163,1233,脂,滂三B脂平,丕,敷,悲,普,,,滂三C虞平,幫三B脂平,滂一模上,,176,,敷悲反.五.,普悲反.五.
164,1244,脂,曉合三A脂平,倠,許,維,,,,曉開三C魚上,以合三脂平,,,177,,仳倠.許維反.一.,
165,1248,脂,澄合三脂平,鎚,直,追,,,,澄開三蒸入,知合三脂平,,,178,,直追反.三.,
166,1253,脂,昌合三脂平,推,尺,隹,,,,昌開三清入,章合三脂平,,,179,,尺隹反.一.,
167,1256,脂,知開三脂平,胝,丁,私,,,,端開四青平,心開三脂平,,,180,,皮厚.丁私反.二.,
168,1258,脂,滂三A脂平,紕,匹,夷,,,,滂三A真入,以開三脂平,,,181,,繒欲壊.匹夷反.一.,繒欲壞.匹夷反.一.
169,1261,脂,精合三脂平,嶉,醉,綏,,,,精合三脂去,心合三脂平,,,182,,髙㒵.醉綏反.二.,高皃.醉綏反.二.
