反切字,音韻地位
膺,影開三C蒸平
臘,來開一談入
自,從開三脂去
至,章開三脂去
臻,莊開三臻平
舉,見開三C魚上
舒,書開三魚平
舜,書合三真去
艮,見開一痕去
良,來開三陽平
色,生開三蒸入
芥,見開二夬去
芮,日合三祭去
花,曉合二麻平
芳,滂三C陽平
芻,初合三虞平
若,日開三陽入
苦,溪一模上
英,影開三B庚平
茅,明二肴平
茗,明四青上
荀,心合三真平
荒,曉合一唐平
莊,莊開三陽平
莒,見開三C魚上
莖,匣開二耕平
莧,匣開二山去
莫,明一唐入
華,匣合二麻平
萌,明二耕平
萍,並四青平
落,來開一唐入
葉,以開三鹽入
葛,見開一寒入
董,端一東上
葵,羣合三A脂平
蒭,初合三虞平
蒲,並一模平
蒿,曉開一豪平
蕭,心開四蕭平
薄,並一唐入
薛,心開三仙入
薳,云合三B支上
藟,來合三脂上
藥,以開三陽入
蘇,心一模平
虎,曉一模上
虐,疑開三C陽入
處,昌開三魚上
虚,曉開三C魚平
虞,疑合三C虞平
虢,見合二庚入
虬,羣開三A幽平
蛙,影合二佳平
蜀,常三鍾入
蜜,明三A真入
螢,匣合四青平
衆,章三東去
行,匣開二庚平
衛,云合三B祭去
衢,羣合三C虞平
表,幫三A宵上
袁,云合三C元平
袂,明三A祭去
袍,並一豪平
補,幫一模上
裴,並一灰平
褒,幫一豪平
褚,徹開三魚上
西,心開四齊平
見,見開四先去
規,見合三A支平
視,常開三脂上
親,清開三真平
覲,羣開三B真去
覽,來開一談上
角,見二江入
觜,精合三支上
解,匣開二佳上
言,疑開三C元平
計,見開四齊去
訖,見開三C殷入
託,透開一唐入
記,見開三C之去
訝,疑開二麻去
許,曉開三C魚上
詣,疑開四齊去
詩,書開三之平
詭,見合三B支上
詰,溪開三A真入
話,匣合二夬去
詳,邪開三陽平
詵,生開三臻平
詹,章開三鹽平
誄,來合三脂上
誅,知合三虞平
語,疑開三C魚上
談,定開一談平
諍,莊開二耕去
諧,匣開二皆平
諫,見開二刪去
諷,幫三C東去
諸,章開三魚平
諾,泥開一唐入
謀,明三C尤平
謁,影開三C元入
謂,云合三C微去
謗,幫一唐去
講,見二江上
謝,邪開三麻去
謨,明一模平
謬,明三B幽去
謹,見開三C殷上
證,章開三蒸去
譍,影開三C蒸去
譖,莊開三侵去
識,書開三蒸入
譬,滂三A支去
變,幫三B仙去
讒,崇開二咸平
讓,日開三陽去
谷,見一東入
豆,定一侯去
豈,溪開三C微上
豉,常開三支去
豔,以開三鹽去
豹,幫二肴去
貞,知開三清平
貟,云合三B仙平
貢,見一東去
貨,曉合一歌去
販,幫三C元去
責,莊開二耕入
貴,見合三C微去
買,明二佳上
賀,匣開一歌去
賄,曉合一灰上
資,精開三脂平
賓,幫三A真平
賜,心開三支去
賢,匣開四先平
賣,明二佳去
賤,從開三仙去
